Timestamp,LotID,LotName,Capacity,Occupancy,QueueLength,TrafficConditionNearby,IsSpecialDay,VehicleType,BasePrice,CompetitorPrice,Latitude,Longitude
2025-07-01 00:00:00,LOT_11,Airport Express Hub,350,245,0,low,0,car,18.0,18.7,28.58,77.18
2025-07-01 00:15:00,LOT_04,Metro Station East,250,205,1,low,0,car,8.0,9.36,28.61,77.225
2025-07-01 00:30:00,LOT_11,Airport Express Hub,350,18,2,high,0,truck,18.0,16.93,28.58,77.18
2025-07-01 00:45:00,LOT_07,University Campus South,220,43,0,low,0,car,7.0,6.44,28.595,77.195
2025-07-01 01:00:00,LOT_04,Metro Station East,250,206,1,high,0,truck,8.0,6.5,28.61,77.225
2025-07-01 01:15:00,LOT_04,Metro Station East,250,209,1,high,1,car,8.0,12.63,28.61,77.225
2025-07-01 01:30:00,LOT_08,Cultural Center Lot,120,55,2,medium,0,car,11.0,17.95,28.62,77.19
2025-07-01 01:45:00,LOT_12,Old Town Market Sq,100,63,0,medium,0,car,13.0,13.43,28.64,77.205
2025-07-01 02:00:00,LOT_03,Tech Park Plaza,300,244,1,low,0,car,10.0,7.17,28.625,77.21
2025-07-01 02:15:00,LOT_02,Financial District North,150,114,3,medium,0,car,15.0,16.53,28.618,77.214
2025-07-01 02:30:00,LOT_14,Suburban Commuter Lot,210,146,0,medium,0,car,6.0,5.0,28.57,77.21
2025-07-01 02:45:00,LOT_12,Old Town Market Sq,100,91,3,medium,0,bike,13.0,10.01,28.64,77.205
2025-07-01 03:00:00,LOT_02,Financial District North,150,89,2,medium,0,truck,15.0,23.43,28.618,77.214
2025-07-01 03:15:00,LOT_04,Metro Station East,250,92,2,low,0,car,8.0,7.25,28.61,77.225
2025-07-01 03:30:00,LOT_13,Convention Center Park,280,203,1,medium,0,car,14.0,13.47,28.615,77.235
2025-07-01 03:45:00,LOT_14,Suburban Commuter Lot,210,68,0,medium,0,bike,6.0,6.82,28.57,77.21
2025-07-01 04:00:00,LOT_11,Airport Express Hub,350,263,0,medium,0,car,18.0,17.02,28.58,77.18
2025-07-01 04:15:00,LOT_06,City Hospital Garage,180,177,3,low,0,car,9.0,9.86,28.605,77.2
2025-07-01 04:30:00,LOT_10,Harbor Bay Terminal,160,128,2,high,0,truck,10.0,7.32,28.59,77.23
2025-07-01 04:45:00,LOT_12,Old Town Market Sq,100,36,0,low,1,bike,13.0,19.16,28.64,77.205
2025-07-01 05:00:00,LOT_05,Shopping Mall Complex,400,289,0,high,0,car,14.0,16.86,28.63,77.22
